age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,195,229,216,194,231,226,181,194,198,194
1,19,13,4,20,14,13,10,8,14,8
2,12,7,5,5,7,11,7,7,8,4
3,7,7,3,5,10,1,3,5,6,8
4,5,4,8,4,5,3,7,1,6,6
5,5,5,7,6,2,4,7,5,2,3
6,3,1,6,8,3,4,2,6,8,3
7,4,3,2,1,5,3,6,3,6,3
8,4,2,6,6,4,6,2,6,3,4
9,4,3,3,8,1,4,4,1,2,3
10,3,2,3,6,3,4,5,8,2,1
11,6,5,8,1,5,3,4,7,3,7
12,4,7,3,1,4,2,5,4,9,4
13,5,6,6,4,4,3,5,2,3,5
14,5,3,5,7,4,7,7,8,5,4
15,14,3,12,4,13,11,10,11,6,9
16,13,12,10,13,12,14,9,8,3,8
17,13,13,6,10,9,11,15,13,10,11
18,19,15,11,15,20,18,16,14,17,9
19,20,18,20,16,17,23,23,11,23,23
20,14,19,21,26,17,21,19,18,21,25
21,16,23,25,28,24,13,24,22,25,18
22,25,23,20,18,28,14,15,28,20,21
23,15,25,18,36,26,18,31,22,26,31
24,25,21,34,29,24,13,22,31,25,25
25,21,17,22,32,22,25,27,26,28,24
26,28,21,18,31,24,30,24,28,22,21
27,25,20,24,27,23,23,25,30,24,30
28,23,34,26,24,24,29,28,34,28,27
29,15,26,25,29,35,23,29,39,23,20
30,27,38,26,24,32,28,21,27,22,39
31,23,32,22,32,22,36,35,38,32,39
32,23,27,29,37,23,31,23,30,23,36
33,27,36,25,30,33,41,35,21,27,32
34,47,40,31,26,30,39,36,28,32,35
35,33,41,36,39,31,40,34,47,38,33
36,45,47,49,48,33,38,45,40,34,36
37,61,48,42,56,37,43,30,45,38,37
38,61,52,35,42,53,51,59,52,48,46
39,63,74,60,53,64,56,45,46,45,57
40,81,72,79,74,55,73,41,58,53,43
41,86,73,78,65,71,72,52,56,61,65
42,101,88,71,77,77,77,63,70,71,74
43,91,92,99,82,81,84,76,65,70,97
44,105,116,103,114,86,91,90,103,70,83
45,138,128,112,107,114,99,111,98,106,86
46,165,136,124,128,124,111,94,102,120,110
47,159,165,159,162,125,141,130,112,120,104
48,168,190,197,173,163,150,153,140,127,143
49,223,213,204,181,185,148,143,154,165,153
50,215,223,243,253,173,215,190,142,178,175
51,272,240,279,236,261,209,201,209,180,178
52,261,252,240,257,270,262,256,208,183,202
53,324,308,280,245,275,275,271,257,226,236
54,325,318,331,315,315,311,297,292,280,264
55,362,347,342,348,330,351,292,314,332,286
56,387,385,372,368,334,343,335,332,326,355
57,442,399,369,442,412,396,372,357,398,410
58,463,442,464,434,406,428,400,384,401,403
59,526,462,466,481,433,480,442,451,462,422
60,560,498,572,548,467,499,453,451,497,461
61,593,595,574,557,574,536,578,496,501,548
62,606,662,655,578,591,609,590,552,566,529
63,692,685,619,701,623,629,622,659,597,614
64,718,737,708,720,662,648,717,648,682,636
65,823,767,781,768,702,745,757,700,774,736
66,929,881,837,806,773,799,819,820,780,884
67,1015,979,907,908,819,853,886,817,835,934
68,1080,1159,1007,1002,874,975,932,902,899,932
69,1073,1111,1142,1090,1055,1002,997,991,944,1004
70,1110,1197,1193,1213,1227,1154,1033,1072,1006,1069
71,992,1094,1261,1279,1330,1225,1149,1099,1167,1170
72,1066,1044,1199,1294,1343,1307,1353,1235,1248,1236
73,1136,1124,1232,1258,1381,1499,1470,1434,1423,1365
74,1174,1166,1188,1230,1347,1534,1502,1543,1666,1510
75,1206,1235,1146,1285,1347,1502,1626,1706,1694,1810
76,1258,1245,1256,1276,1293,1488,1515,1686,1788,1926
77,1336,1388,1399,1327,1412,1442,1479,1681,1888,1973
78,1431,1357,1387,1492,1416,1529,1442,1561,1814,1905
79,1453,1431,1490,1477,1525,1591,1573,1522,1711,2050
80,1542,1431,1537,1535,1568,1646,1644,1691,1796,1939
81,1600,1486,1591,1592,1648,1734,1661,1742,1801,1971
82,1664,1566,1551,1632,1691,1813,1742,1769,1864,1976
83,1727,1678,1704,1626,1745,1795,1764,1877,1871,2030
84,1737,1602,1676,1709,1689,1775,1816,1782,1997,2165
85,1769,1607,1679,1657,1755,1684,1755,1879,1958,2087
86,1675,1655,1759,1689,1734,1816,1768,1856,2042,2019
87,1730,1691,1699,1778,1765,1846,1713,1856,1970,1995
88,1780,1675,1710,1724,1700,1791,1762,1716,1871,1964
89,1715,1680,1682,1618,1643,1785,1615,1663,1767,1931
90,1529,1479,1551,1619,1611,1751,1638,1577,1678,1829
91,1471,1431,1495,1478,1523,1566,1481,1528,1478,1640
92,1400,1303,1370,1335,1429,1400,1379,1388,1439,1429
93,1187,1230,1274,1142,1303,1266,1200,1242,1286,1311
94,878,961,1063,1054,996,1099,1112,1144,1186,1157
95,757,693,875,891,873,884,901,905,1011,970
96,582,607,631,716,776,736,706,672,782,835
97,497,466,466,513,532,657,517,536,607,615
98,355,335,377,345,392,471,452,445,464,464
99_or_older,754,738,768,819,859,852,895,924,960,978
